,state
0,Afghanistan
88,Albania
176,Algeria
264,Andorra
352,Angola
440,Antigua and Barbuda
528,Argentina
616,Armenia
704,Austria
792,Azerbaijan
880,Bahamas
968,Bahrain
1056,Bangladesh
1144,Barbados
1232,Belarus
1320,Belgium
1408,Benin
1496,Bhutan
1584,Bolivia
1672,Bosnia and Herzegovina
1760,Brazil
1848,Brunei
1936,Bulgaria
2024,Burkina Faso
2112,Cabo Verde
2200,Cambodia
2288,Cameroon
2376,Central African Republic
2464,Chad
2552,Chile
2640,Colombia
2728,Congo (Brazzaville)
2816,Congo (Kinshasa)
2904,Costa Rica
2992,Cote d'Ivoire
3080,Croatia
3168,Diamond Princess
3256,Cuba
3344,Cyprus
3432,Czechia
3520,Denmark
3608,Djibouti
3696,Dominican Republic
3784,Ecuador
3872,Egypt
3960,El Salvador
4048,Equatorial Guinea
4136,Eritrea
4224,Estonia
4312,Eswatini
4400,Ethiopia
4488,Fiji
4576,Finland
4664,France
4752,Gabon
4840,Gambia
4928,Georgia
5016,Germany
5104,Ghana
5192,Greece
5280,Guatemala
5368,Guinea
5456,Guyana
5544,Haiti
5632,Holy See
5720,Honduras
5808,Hungary
5896,Iceland
5984,India
6072,Indonesia
6160,Iran
6248,Iraq
6336,Ireland
6424,Israel
6512,Italy
6600,Jamaica
6688,Japan
6776,Jordan
6864,Kazakhstan
6952,Kenya
7040,"Korea, South"
7128,Kuwait
7216,Kyrgyzstan
7304,Latvia
7392,Lebanon
7480,Liberia
7568,Liechtenstein
7656,Lithuania
7744,Luxembourg
7832,Madagascar
7920,Malaysia
8008,Maldives
8096,Malta
8184,Mauritania
8272,Mauritius
8360,Mexico
8448,Moldova
8536,Monaco
8624,Mongolia
8712,Montenegro
8800,Morocco
8888,Namibia
8976,Nepal
9064,Netherlands
9152,New Zealand
9240,Nicaragua
9328,Niger
9416,Nigeria
9504,North Macedonia
9592,Norway
9680,Oman
9768,Pakistan
9856,Panama
9944,Papua New Guinea
10032,Paraguay
10120,Peru
10208,Philippines
10296,Poland
10384,Portugal
10472,Qatar
10560,Romania
10648,Russia
10736,Rwanda
10824,Saint Lucia
10912,Saint Vincent and the Grenadines
11000,San Marino
11088,Saudi Arabia
11176,Senegal
11264,Serbia
11352,Seychelles
11440,Singapore
11528,Slovakia
11616,Slovenia
11704,Somalia
11792,South Africa
11880,Spain
11968,Sri Lanka
12056,Sudan
12144,Suriname
12232,Sweden
12320,Switzerland
12408,Taiwan*
12496,Tanzania
12584,Thailand
12672,Togo
12760,Trinidad and Tobago
12848,Tunisia
12936,Turkey
13024,Uganda
13112,Ukraine
13200,United Arab Emirates
13288,United Kingdom
13376,Uruguay
13464,US
13552,Uzbekistan
13640,Venezuela
13728,Vietnam
13816,Zambia
13904,Zimbabwe
13992,Dominica
14080,Grenada
14168,Mozambique
14256,Syria
14344,Timor-Leste
14432,Belize
14520,Laos
14608,Libya
14696,West Bank and Gaza
14784,Guinea-Bissau
14872,Mali
14960,Saint Kitts and Nevis
15048,Kosovo
15136,Burma
15224,MS Zaandam
15312,Botswana
15400,Burundi
15488,Sierra Leone
15576,Malawi
15664,South Sudan
15752,Western Sahara
15840,Sao Tome and Principe
15928,Yemen
16016,Australia (total)
16104,Canada (total)
16192,China (total)
16280,Denmark (total)
16368,France (total)
16456,Netherlands (total)
16544,United Kingdom (total)
